"","GPNJ7M_10_sample_2B","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_13_sample_2E","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_3_sample_1C","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H","GPNJ7M_9_sample_2A"
"PTI98_010764",5.15000854948688,6.41630994362478,6.17403165182622,4.78474227422106,4.63011331499611,5.9076963589205,4.85215708016131,4.3976775931684,5.9310972581676,4.55911037151993,5.27124536066282,5.06359002873296,4.83173687687949,4.98015335551767,4.0166176709544,5.46590242712615
"PTI98_010773",2.36613314755691,2.7317911424801,3.28460644398429,2.72629527260855,4.05268007707383,4.46336230984776,4.14807115951025,3.11374029127869,3.00488262121418,3.6431958178817,4.51666826213927,3.28002805451492,2.76599995870132,3.67567400188808,3.46824740210871,2.90895748214966
"PTI98_010806",4.05104436923576,2.7317911424801,2.22995520557867,3.56987817648774,2.85399055322697,2.98497436653077,2.55270563427768,3.01437893071156,3.87520030700199,4.55911037151993,3.09765900936831,2.87313783593008,3.1077389542879,2.82232509984209,3.0383748239701,3.40382873881287
"PTI98_010807",4.98741520838932,5.88693602518216,6.17403165182622,6.00277487983363,5.72087532274325,5.17665429906076,5.36825345528286,5.29944488138152,6.07963864689745,5.1143707921869,5.27124536066282,5.71145608337561,5.29606938194449,6.37970296845914,5.49569929766374,4.99928765405488
"PTI98_010812",5.55021514841498,3.57594943854374,3.61501545379865,4.09679554709464,3.9474087533097,3.61820257303069,4.14807115951025,4.82885597365123,3.00488262121418,3.6431958178817,5.04004557828785,4.5093547474249,3.50299758559468,4.28949448828931,5.07799446547679,4.99928765405488
"PTI98_010825",2.36613314755691,2.7317911424801,3.01232600861674,3.56987817648774,3.57542486080888,2.77009060530788,3.29434502780323,4.25359896996209,3.87520030700199,-0.435236143934275,3.51530387086723,1.88758539014906,3.25200984814556,3.79418019245761,4.69129312649628,4.06242286201243
"PTI98_010829",3.67625884096381,3.40709052914367,3.01232600861674,-0.435236143934275,3.71042901410358,3.61820257303069,3.31846213678633,3.81873555587719,3.63947691761807,-0.435236143934275,3.32170940879807,3.44682681393973,2.76599995870132,4.30551993353865,3.31148906244083,2.90895748214966
"PTI98_010832",2.36613314755691,1.98701657709623,1.9384459375399,3.56987817648774,1.27396896495182,2.98497436653077,2.42364419925285,4.08537551483121,-0.435236143934275,-0.435236143934275,3.09765900936831,2.61530921183041,1.63417008382904,3.96551958570611,3.79827303715296,-0.435236143934275
"PTI98_010841",2.36613314755691,5.77042747510937,5.56182747206653,3.56987817648774,5.98256476452479,5.17665429906076,6.02035639934952,3.01437893071156,4.555177955718,3.6431958178817,3.83814168728677,-0.435236143934275,2.31366048756776,2.86660625846832,2.93427981693571,-0.435236143934275
"PTI98_010885",-0.435236143934275,3.494010473673,2.67501772166891,3.56987817648774,3.57542486080888,2.77009060530788,3.51373471674396,3.88552523438636,2.53493591875653,-0.435236143934275,3.32170940879807,2.61530921183041,3.9867628443069,3.3119198364094,3.96506469467211,2.90895748214966
