"","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H"
"AAD021_008024",6.83030435130392,7.49103139791586,7.57040268035504,7.38818626653148,7.26819731155837,7.10499317764109,7.7778400432936,7.1857964168423,7.48092984494415,7.1145480791908,7.09090445241361,7.25964818690646
"AAD021_008028",6.45103952775977,6.38319742665213,4.51896161711854,6.04493539094234,5.13485361855983,5.65711633960614,5.20235441858818,5.33455400679452,7.07288582454624,5.14553519125435,6.06808390978173,5.56018821691911
"AAD021_008034",2.21610893827559,3.56206352174994,4.51896161711854,4.23604130027947,5.71799369240884,3.67747574592639,4.86777549021084,3.40002281722952,4.10391592131074,3.56776881173124,3.30455949784205,4.417777550575
"AAD021_008041",5.07292484736079,4.2960702414643,6.08327024874243,5.40778207432769,5.2410224396212,4.82794851988885,5.04477331559687,4.88484967778237,5.08784044491864,5.80039901813226,5.04277711377789,5.97836028007783
"AAD021_008043",4.9100794310571,5.71029759584645,4.95869150023189,6.08401301474925,5.38689537983983,4.33164870248947,6.66564000242352,5.67670288831002,5.08784044491864,5.62864376301503,4.27950023185751,5.43348054771225
"AAD021_008052",4.65954642317376,0.393138807152526,0.393138807152526,0.393138807152526,1.88805699672145,1.90762473988972,0.393138807152526,2.96362573277677,4.27063895736491,3.56776881173124,1.79982701848488,4.71939541307602
"AAD021_008065",4.17576353566838,4.40641999723162,4.2353698270337,3.52827685908055,4.23887422323354,4.28528254493399,3.33109351143865,4.22655402767029,4.99593776997874,4.51522283544502,3.87424935981263,4.03515097530623
"AAD021_008066",5.72263549833263,5.79359848896281,4.06923902889389,5.2788985652621,5.19949009042926,6.11547888567503,3.79861771303625,6.38434253076684,6.28621351262246,6.21901370523178,5.95479632268847,6.32010813355896
"AAD021_008068",6.36992573682776,5.79359848896281,6.03923348137797,7.05622120699568,5.83611596304994,5.01670541270376,5.80363690927405,5.51576455568595,4.89775720687189,5.26776279380751,5.53867508995499,4.9685060228871
"AAD021_008071",5.51184338295859,5.37372562167273,6.08327024874243,7.07573447199435,5.56908534727123,5.00961237269644,6.43130848672492,5.42800785155583,5.3328311950021,4.30230811478686,5.08651025099088,4.6639339296443
"AAD021_008074",5.96290696021014,6.21213175424241,5.36800675816984,3.92579970061594,4.40843902726987,5.51921243264483,3.79861771303625,4.42155595573757,4.99593776997874,5.14553519125435,5.49610068848622,5.56018821691911
"AAD021_008078",4.72639513984892,3.74236006728028,3.09375155748527,3.27756063609224,3.23425144232231,3.60330822600464,3.79861771303625,4.59315467557982,3.43958375527462,3.90823683836098,3.77005334411973,3.63190692169442
"AAD021_008079",3.26610045633293,4.04596037477905,3.40792573070434,3.74095547899667,3.97398974689359,4.67483403207033,0.393138807152526,4.00065551670751,4.41992962760212,4.30230811478686,3.49213896499218,4.349011248494
"AAD021_008081",3.26610045633293,2.43786452024297,0.393138807152526,0.393138807152526,1.49492991021924,5.72358139651015,0.393138807152526,6.33697163910626,6.28621351262246,5.53442275408462,5.26201489325325,4.87397937344808
"AAD021_008082",8.06624145885037,7.52796978452504,6.86684052891826,7.52222577134567,6.01422541348039,6.19569118743822,7.82701110153921,7.23829727368837,6.74668210829891,6.49383930785739,6.44327796194501,6.35546685202377
"AAD021_008094",4.85142277074789,5.79359848896281,5.74235767602202,2.97140156493069,4.33340799375706,4.53344125114174,3.79861771303625,0.393138807152526,4.27063895736491,3.90823683836098,4.51160252870377,4.349011248494
"AAD021_008101",3.26610045633293,4.508869304133,3.66427996827843,3.74095547899667,4.50130368327608,4.66582928845634,2.62067796923318,5.33455400679452,5.17422217188859,3.74821781440161,4.96679655574291,5.05719891108367
"AAD021_008104",5.99030882360569,4.85816074920731,4.95869150023189,4.6029456750894,5.92792009323831,6.00226651425198,5.20235441858818,5.23460983381566,5.3328311950021,6.41674771732713,5.83183944052329,5.05719891108367
"AAD021_008105",3.85425238124928,3.74236006728028,3.40792573070434,0.393138807152526,3.18086429784068,4.33164870248947,3.33109351143865,4.00065551670751,3.43958375527462,3.56776881173124,4.93524318212852,3.06454843627952
"AAD021_008109",6.39063593492615,6.71762495882828,7.44104192560422,6.3313912686464,7.40508010628155,6.04100031287266,7.04395404972017,7.38522461087293,6.43342993139192,6.41674771732713,5.69740522657975,6.28386050327956
"AAD021_008113",6.4899472176266,6.01800208675704,5.13661291240056,5.34478208242396,5.97479671809892,5.03777699435481,7.04395404972017,7.45343250543416,5.3328311950021,6.80744365129676,5.81462312367333,6.33789587215335
"AAD021_008120",6.4899472176266,6.21213175424241,5.74235767602202,7.0949872786238,5.77914554676676,5.59692388851315,7.16363651907015,6.63990528945552,6.62941439047898,5.58230346424233,6.00877348115344,5.59019701727327
"AAD021_008122",4.58943057388956,4.60448077708536,2.68561020213455,4.36906796187228,3.06747251566108,3.52501964032088,3.33109351143865,2.96362573277677,3.91508274581449,3.56776881173124,4.32902989095823,3.51016369397334
"AAD021_008126",4.26861957396219,4.40641999723162,2.09055598267484,4.70697775970025,4.68209408509358,3.79858140351914,0.393138807152526,4.88484967778237,4.55511329922266,4.05204180875874,3.87424935981263,3.63190692169442
"AAD021_008131",4.58943057388956,5.26110432087205,3.40792573070434,3.74095547899667,3.19170761358074,4.22512662398051,4.14946488985269,0.393138807152526,4.55511329922266,4.05204180875874,3.87424935981263,3.63190692169442
"AAD021_008132",7.98687468974368,7.5157617834967,6.70718670862919,7.35662927820741,6.41630127140033,5.84398827880907,7.27414506388896,6.18473793917232,6.71824691601567,5.80039901813226,6.03873370519539,6.08754658674926
