"gene","module"
"AAD021_010406","red"
"AAD021_010408","turquoise"
"AAD021_010412","yellow"
"AAD021_010413","turquoise"
"AAD021_010416","yellow"
"AAD021_010421","red"
"AAD021_010422","lightcyan"
"AAD021_010426","turquoise"
"AAD021_010429","blue"
"AAD021_010431","brown"
"AAD021_010435","blue"
"AAD021_010436","blue"
"AAD021_010437","turquoise"
"AAD021_010438","pink"
"AAD021_010439","grey60"
"AAD021_010440","red"
"AAD021_010442","greenyellow"
"AAD021_010447","yellow"
"AAD021_010450","grey60"
"AAD021_010452","red"
"AAD021_010453","greenyellow"
"AAD021_010461","darkred"
"AAD021_010464","yellow"
"AAD021_010469","green"
"AAD021_010470","greenyellow"
"AAD021_010471","magenta"
"AAD021_010478","yellow"
"AAD021_010479","cyan"
"AAD021_010480","red"
"AAD021_010481","blue"
"AAD021_010484","blue"
"AAD021_010487","red"
"AAD021_010492","pink"
"AAD021_010496","saddlebrown"
"AAD021_010500","green"
"AAD021_010523","brown"
"AAD021_010524","midnightblue"
"AAD021_010525","saddlebrown"
"AAD021_010530","brown"
"AAD021_010531","brown"
"AAD021_010532","grey60"
"AAD021_010538","black"
"AAD021_010541","blue"
"AAD021_010556","purple"
"AAD021_010557","magenta"
"AAD021_010564","red"
"AAD021_010566","midnightblue"
"AAD021_010568","lightcyan"
"AAD021_010569","yellow"
"AAD021_010571","red"
"AAD021_010578","yellow"
"AAD021_010582","orangered4"
"AAD021_010584","lightcyan"
"AAD021_010589","green"
"AAD021_010590","brown"
"AAD021_010602","orange"
"AAD021_010608","plum1"
"AAD021_010610","grey60"
"AAD021_010615","green"
"AAD021_010617","purple"
"AAD021_010618","royalblue"
"AAD021_010620","white"
"AAD021_010621","yellowgreen"
"AAD021_010627","turquoise"
"AAD021_010628","magenta"
"AAD021_010629","brown"
"AAD021_010634","greenyellow"
"AAD021_010636","cyan"
"AAD021_010641","darkturquoise"
"AAD021_010652","pink"
"AAD021_010655","brown"
"AAD021_010656","lightgreen"
"AAD021_010662","blue"
"AAD021_010664","red"
"AAD021_010671","lightcyan"
"AAD021_010672","red"
"AAD021_010695","paleturquoise"
"AAD021_010696","cyan"
"AAD021_010700","lightyellow"
"AAD021_010702","darkmagenta"
"AAD021_010703","skyblue"
"AAD021_010720","blue"
"AAD021_010722","blue"
"AAD021_010732","grey60"
"AAD021_010733","blue"
"AAD021_010736","darkgrey"
"AAD021_010737","turquoise"
"AAD021_010738","brown"
"AAD021_010739","orange"
"AAD021_010740","orange"
"AAD021_010741","blue"
"AAD021_010742","green"
"AAD021_010743","brown"
"AAD021_010744","red"
"AAD021_010747","green"
"AAD021_010749","lightgreen"
